1,0,33242,26923,34294,21600,62183,21677
2,250,33797,26838,33819,19992,61997,23404
3,500,34347,26773,33293,18477,61644,25188
4,750,34889,26730,32719,17067,61128,27017
5,1000,35418,26707,32100,15769,60450,28881
6,1250,35931,26704,31441,14592,59615,30768
7,1500,36425,26718,30744,13541,58628,32666
8,1750,36897,26749,30015,12624,57496,34565
9,2000,37342,26794,29257,11844,56225,36454
10,2250,37756,26853,28474,11208,54823,38320
11,2500,38136,26923,27672,10718,53299,40153
12,2750,38477,27005,26852,10378,51662,41940
13,3000,38774,27096,26020,10190,49922,43672
14,3250,39024,27198,25183,10156,48091,45336
15,3500,39224,27309,24347,10275,46179,46923
16,3750,39373,27430,23516,10548,44198,48422
17,4000,39471,27560,22696,10973,42160,49825
18,4250,39520,27701,21892,11546,40078,51121
19,4500,39526,27853,21110,12266,37965,52305
20,4750,39491,28015,20355,13126,35833,53368
21,5000,39420,28189,19631,14121,33697,54303
22,5250,39317,28374,18945,15246,31570,55107
23,5500,39186,28570,18300,16492,29463,55772
24,5750,39030,28776,17701,17853,27392,56296
25,6000,38852,28990,17155,19319,25367,56675
26,6250,38654,29213,16667,20884,23403,56905
27,6500,38437,29442,16241,22536,21510,56986
28,6750,38203,29674,15882,24267,19701,56917
29,7000,37954,29907,15594,26066,17986,56698
30,7250,37691,30139,15379,27923,16376,56329
31,7500,37417,30368,15236,29826,14880,55814
32,7750,37136,30591,15163,31765,13508,55153
33,8000,36852,30806,15156,33728,12268,54351
34,8250,36569,31013,15210,35703,11168,53413
35,8500,36289,31208,15318,37678,10215,52345
36,8750,36003,31392,15476,39635,9414,51158
37,9000,35690,31562,15679,41558,8771,49865
38,9250,35323,31719,15925,43428,8289,48478
39,9500,34880,31862,16211,45233,7971,47009
40,9750,34346,31992,16537,46962,7821,45464
41,10000,33729,32108,16904,48611,7838,43848
42,10250,33049,32210,17311,50175,8023,42165
43,10500,32344,32297,17759,51652,8374,40419
44,10750,31652,32369,18249,53036,8889,38616
45,11000,30995,32425,18780,54320,9566,36767
46,11250,30382,32464,19353,55493,10400,34885
47,11500,29813,32485,19969,56548,11385,32984
48,11750,29284,32487,20625,57474,12517,31077
49,12000,28793,32469,21321,58266,13787,29177
50,12250,28338,32433,22053,58919,15187,27297
51,12500,27917,32377,22817,59426,16710,25448
52,12750,27531,32302,23606,59784,18345,23644
53,13000,27181,32209,24418,59989,20083,21897
54,13250,26870,32098,25246,60040,21912,20220
55,13500,26599,31971,26081,59934,23822,18622
56,13750,26370,31828,26916,59671,25800,17116
57,14000,26186,31671,27745,59253,27835,15709
58,14250,26046,31501,28560,58684,29915,14410
59,14500,25953,31319,29357,57967,32026,13225
60,14750,25905,31127,30129,57108,34156,12163
61,15000,25902,30925,30869,56112,36292,11228
62,15250,25945,30714,31574,54985,38420,10427
63,15500,26031,30496,32238,53734,40528,9764
64,15750,26162,30272,32857,52368,42602,9243
65,16000,26335,30043,33428,50895,44631,8867
66,16250,26548,29810,33945,49325,46600,8638
67,16500,26801,29575,34408,47668,48498,8556
68,16750,27091,29339,34813,45936,50312,8622
69,17000,27416,29105,35158,44139,52032,8835
70,17250,27775,28874,35442,42288,53646,9194
71,17500,28166,28646,35663,40394,55145,9698
72,17750,28587,28425,35819,38468,56520,10344
73,18000,29035,28211,35910,36521,57761,11129
74,18250,29507,28005,35936,34566,58861,12048
75,18500,30000,27809,35894,32612,59814,13095
76,18750,30512,27625,35787,30673,60614,14266
77,19000,31040,27453,35614,28760,61256,15551
78,19250,31579,27295,35376,26884,61736,16945
79,19500,32129,27153,35075,25058,62052,18437
80,19750,32685,27029,34714,23293,62201,20018
81,20000,33242,26923,34294,21600,62182,21677
82,20250,33798,26838,33820,19992,61996,23404
83,20500,34348,26773,33294,18478,61644,25188
84,20750,34889,26730,32719,17067,61127,27017
85,21000,35418,26707,32101,15769,60450,28881
86,21250,35931,26703,31441,14592,59615,30768
87,21500,36425,26718,30745,13541,58628,32666
